Reference,DOI,Group,Phylum,Order,Family,Species,Light,Water,Series,Day,Mean,SEM,N,Response,Method,Unit,Source
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,No,Yes,2,6,0.050270262,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,0,100,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,1,84.00998975,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,2,69.88969908,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,3,58.54043181,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,4,48.30304745,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,5,39.20035391,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,6,31.20954328,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,Yes,Yes,1,7,23.92138497,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,0,100,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,1,86.10293804,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,2,75.0470925,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,3,66.53124244,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,4,58.37061814,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,5,51.24447427,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,6,45.22241409,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,7,39.895207,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,8,35.49447072,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,9,31.78858752,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,10,27.85108663,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,11,24.37682114,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
Yoshida 1970,10.15281/jplantres1887.83.137,Freshwater,Streptophyta,Alismatales,Hydrocharitaceae,Elodea densa,No,Yes,2,12,21.0183645,NA,1,Chlorophyll,Chlorophyll,% of initial,Figure 7
