Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Bayley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058,2.4,0.15,NA,NA
Bayley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0076,1.4,0.13,NA,NA
Bayley et al. 1985,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0071,1.6,0.07,NA,NA
Benner et al. 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0067,0.39,NA,NA,NA
Bernard and Solsky 1977,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,470.85,NA,347.708895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.21
Best et al. 1990,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0247,3.44,0.848,NA,NA
Biddanda 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0498,4.52,0.983,NA,NA
Biddanda 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0956,6.08,0.85,NA,NA
Biddanda 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0417,4.19,0.8,NA,NA
Bienfag and Zieman 1992,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,120.2529,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9855,NA,NA,NA,NA,NA,NA
Bienfag and Zieman 1992,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,30.6527,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009855,NA,NA,NA,NA,NA,NA
Billings 1987,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,117.0993,NA,420,NA,NA,NA,NA,NA,NA,NA,7.09925,NA,NA,NA,NA,NA,NA
Billings 1987,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,152.50065,NA,275,NA,NA,NA,NA,NA,NA,NA,92.0895,NA,NA,NA,NA,NA,NA
Billings 1987,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,133.9915,NA,461,NA,NA,8.96,NA,0.12,NA,NA,108.989,2.0002,NA,NA,NA,1.0975,0.09275
Billings 1987,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,72,NA,75.27,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,1.0975,0.09275
Birch et al. 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,216.007,NA,NA,194.4063,NA,NA,21.6007,NA,161.3665,182.9672,13.5999,19.4399,0.0076,2.5,0.19,2.6,0.2356
Bishop et al 1977,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,54.75,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0.7
Bliss 1975,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,123.37,NA,NA,120.9026,NA,10.9,2.4674,0.077,NA,NA,NA,NA,NA,NA,NA,0.88,0.09275
Bliss 1975,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,54.3947,NA,399.2,NA,NA,NA,2.4674,0.077,NA,NA,NA,NA,NA,NA,NA,0.88,0.09275
Bliss 1975,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,40.15,NA,304.14,37.6826,NA,149.32,2.4674,0.017,5.0005,7.4679,30.733,0.74095,1.34E-04,NA,0.09275,0.88,0.139
Bliss 1975,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,35.4897,NA,57.2,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA,0.88,0.139
Blum 1993,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,852.275,NA,1577.18,NA,NA,NA,NA,NA,NA,NA,102.2,NA,NA,NA,NA,NA,NA
Blum 1993,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,271.925,NA,103.08,NA,NA,NA,NA,NA,NA,NA,51.1,NA,NA,NA,NA,NA,NA
