Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
O'Connell 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-04,0.21,0.027,NA,NA
O'Connell 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015,0.41,0.01,NA,NA
O'Connell 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-04,0.21,0.008,NA,NA
O'Connell 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00E-04,0.13,0.004,NA,NA
Odum 1957,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,1715.5,NA,323.6,1398.68,NA,2,316.82,14.8,NA,NA,NA,306.39925,NA,NA,NA,2.22,0.27
Odum 1957,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,1462.2,NA,323.6,NA,NA,NA,316.82,14.8,NA,NA,NA,306.39925,NA,NA,NA,2.22,0.27
Odum 1971,terrestrial,mangroves,Mangrove forest,Marine angiosperms,900.017,NA,NA,876.97747,NA,NA,23.03953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odum and Wilson 1962,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,2565.3952,NA,NA,NA,NA,NA,NA,NA,1401.81024,NA,NA,NA,NA,NA,NA,NA,NA
Odum et al. 1962,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,96.73595,NA,NA,96.016243,NA,NA,0.719707,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,314.99865,NA,2610,NA,NA,NA,NA,NA,NA,NA,28.99925,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,134.9989,NA,770,NA,NA,NA,NA,NA,NA,NA,10.001,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,107.99985,NA,950,NA,NA,NA,NA,NA,NA,NA,26.99905,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,89.998,NA,3330,NA,NA,NA,NA,NA,NA,NA,22.99865,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,13.9795,NA,290,NA,NA,NA,NA,NA,NA,NA,4.0004,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,340.00115,NA,6800,NA,NA,NA,NA,NA,NA,NA,40.00035,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,249.9885,NA,10900,NA,NA,NA,NA,NA,NA,NA,9.9645,NA,NA,NA,NA,NA,NA
Oechel and Billings 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,90.0017,NA,3600,NA,NA,NA,NA,NA,NA,NA,21.99855,NA,NA,NA,NA,NA,NA
Ohmart et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,89.06,NA,200,74.46,NA,NA,2.12065,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.0537
Ohmart et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,74.095,NA,194,62.415,NA,NA,1.241,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.034
Ohmart et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,65.335,NA,145.2,58.765,NA,NA,1.28115,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.0251
Olson 1970,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,351.568,NA,10431.2,NA,NA,NA,NA,NA,NA,NA,129.9765,NA,NA,NA,NA,NA,NA
Omuf et al. 1977,terrestrial,mangroves,Mangrove forest,Marine angiosperms,1694.15115,NA,NA,1588.30115,NA,NA,105.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ong 1993,terrestrial,mangroves,Mangrove forest,Marine angiosperms,900.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.2705,NA,NA,NA,NA,NA,NA
Ong et al. 1982,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655,NA
Ormond and Banaimoon 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,279.371,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,116.8,NA,NA,NA,NA,NA
Ostergard and Kristensen 1992,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,110.1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5915,NA,NA,NA,NA,NA,NA
Otsuki and Hanya 1972,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0093,3.3,NA,NA,NA
Ott 1980,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1242.7885,NA,520,NA,NA,NA,NA,NA,NA,NA,NA,682.55,NA,NA,NA,NA,NA
Ott and Maurer 1977,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,555.32195,NA,461.6,504.22195,NA,NA,51.1,NA,NA,NA,113.15,175.2,NA,NA,NA,NA,NA
Packard 1979,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,679.0752,NA,NA,NA,NA,NA,NA,NA,90.533578,NA,NA,NA,NA,NA,NA,NA,NA
Packard and Le B. Williams 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,242.8637,NA,0.63,NA,NA,NA,NA,NA,74.598408,NA,NA,NA,NA,NA,NA,NA,NA
Packard and Le B. Williams 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,214.5689,NA,0.78,NA,NA,NA,NA,NA,61.510968,NA,NA,NA,NA,NA,NA,NA,NA
Packard and le B. Williams 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,221.6426,NA,0.89,NA,NA,NA,NA,NA,113.897082,NA,NA,NA,NA,NA,NA,NA,NA
Pakarinen 1978,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,115.34,NA,178.531073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.0047
Pakarinen 1978,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,76.65,NA,132.911392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.035
Palm and Sanchez 1990,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,3.18,0.22,NA,NA
Palm and Sanchez 1990,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0047,3.48,0.18,NA,NA
Palm and Sanchez 1990,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,3.52,0.21,NA,NA
Panatmat 1988,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,107.456,NA,NA,NA,NA,NA,NA,NA,16.2206,NA,NA,NA,NA,NA,NA,NA,NA
Pandey and Singh 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,699.997,NA,NA,500.0135,NA,NA,199.9835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsons and De la Cruz 1980,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1224,NA,NA,1221.0353,NA,NA,2.9647,NA,393.27,396.2347,NA,NA,NA,0.7705,0.0787,0.7705,0.0787
Parsons and De la Cruz 1980,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,832.11,NA,242.5,NA,NA,NA,2.9647,0.089,NA,NA,NA,NA,NA,NA,NA,0.78,0.14
Patriquin and McClung 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,299.3,NA,119.883041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,NA
Patriquin and McClung 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,159.87,NA,66.768293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA
Pattersen et al. 1991,aquatic,marine macroalgal beds,Macroalgal forest,Algae,874.76265,NA,NA,NA,NA,NA,NA,NA,792.9187,NA,NA,NA,NA,NA,NA,NA,NA
Payri 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,42.3765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Payri 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,4.55155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Payri 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1.72645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peduzzi and Herndl 1991,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,250,NA,NA,214.02,NA,NA,NA,NA,119.52,NA,NA,NA,0.0039,4.36,0.1887,NA,NA
Pellikaan and Nienhuis 1988,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,162.03445,NA,50,153.16495,NA,9.8,8.8695,NA,109.12989,117.99939,51.1,NA,0.03051,NA,NA,2.51,0.4162
Pergent et al. 1994,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,135.2909,NA,233.8,NA,NA,NA,NA,NA,NA,NA,55.19895,40.15,NA,NA,NA,NA,NA
Perry 1976,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,43.8,NA,0.43956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,0.79
Peterson et al. 1986,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,76.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,NA,NA,NA,NA,NA
Polunin and Klumpp 1992,aquatic,marine macroalgal beds,Macroalgal forest,Algae,718.831,NA,26.4,331.931,NA,NA,386.9,NA,83.95,470.85,0.803,244.55,NA,NA,NA,2.5,0.31
Pomeroy and Johannes 1968,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,4258.3674,NA,NA,NA,NA,NA,NA,NA,540.511272,NA,NA,NA,NA,NA,NA,NA,NA
Pomeroy and Johannes 1968,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,1242.6133,NA,NA,NA,NA,NA,NA,NA,689.708088,NA,NA,NA,NA,NA,NA,5.49,0.81
Pomeroy and Johannes 1968,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,848.844,NA,NA,NA,NA,NA,NA,NA,379.65694,NA,NA,NA,NA,NA,NA,5.59,0.76
Pomeroy and Johannes 1968,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,580.0434,NA,NA,NA,NA,NA,NA,NA,260.440056,NA,NA,NA,NA,NA,NA,NA,NA
Pomeroy and Johannes 1968,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,509.3064,NA,NA,NA,NA,NA,NA,NA,315.407304,NA,NA,NA,NA,NA,NA,NA,NA
Pomeroy and Johannes 1968,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,315.9586,NA,NA,NA,NA,NA,NA,NA,175.371696,NA,NA,NA,NA,NA,NA,5.49,0.81
Pomeroy and Johannes 1968,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,264.0848,NA,NA,NA,NA,NA,NA,NA,138.726864,NA,NA,NA,NA,NA,NA,NA,NA
Pomeroy et al. 1981,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,189.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.92,NA,NA,NA,NA,NA
Poumba 1994,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,374.9061,NA,2.5,NA,NA,NA,NA,NA,NA,NA,1.898,NA,NA,NA,NA,NA,NA
Prego 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,127.3266,NA,4,NA,NA,NA,NA,NA,NA,NA,1.4965,23.725,NA,NA,NA,NA,NA
Proctor et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,332.88,NA,1520,292,NA,168,40.88,NA,240.38,281.26,NA,NA,0.004762,1.17,NA,1.17,NA
Proctor et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,318.28,NA,1000,264.26,NA,150,54.02,NA,218.62,272.64,NA,NA,0.004827,0.9,NA,0.9,NA
Proctor et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,264.26,NA,1880,223.38,NA,157.2,40.88,NA,169.2,210.08,NA,NA,0.003893,0.567,NA,0.567,NA
Proctor et al. 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,246.74,NA,2600,216.08,NA,129.2,30.66,NA,175.3,205.96,NA,NA,0.004582,0.95,NA,0.95,NA
Qasim and Bhattathiri 1971,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1883.06055,NA,NA,NA,NA,NA,NA,NA,620.5584,NA,NA,NA,NA,NA,NA,NA,NA
Qasim and Bhattathiri 1971,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1672.25845,NA,NA,NA,NA,NA,NA,NA,755.55,NA,NA,NA,NA,NA,NA,NA,NA
Qasim and Bhattathiri 1971,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,582.0655,NA,NA,NA,NA,NA,NA,NA,372.738,NA,NA,NA,NA,NA,NA,NA,NA
Qasim and Bhattathiri 1971,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,423.17735,NA,NA,NA,NA,NA,NA,NA,270.9906,NA,NA,NA,NA,NA,NA,NA,NA
Randall and Day 1987,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,370.19,NA,NA,NA,NA,NA,NA,NA,172.305842,NA,NA,NA,NA,NA,NA,5.49,0.81
Randall and Day 1987,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,233.4321,NA,NA,NA,NA,NA,NA,NA,144.561681,NA,NA,NA,NA,NA,NA,NA,NA
Ratliff and Westfall 1988,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,162.06,NA,58.16,NA,NA,225.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reader and Stewart 1972,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,447.4,NA,NA,410.48,NA,NA,36.92,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.175
Reader and Stewart 1972,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,192.6,NA,NA,148.72,NA,NA,43.88,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.114
Reddy and DeBusk 1991,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,2.53,0.27,NA,NA
Reichardt and Dieckmann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,5.2925,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA
Reichle and Crossley 1967,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,89.79,NA,40,80.3,NA,NA,7.9935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reichle et al. 1973,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,327.868,NA,70,324.268,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,0.3389,0.0619
Richardson et al. 1999,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,1196.4,NA,NA,1195.64,NA,NA,0.76,NA,1066.35,1067.11,NA,NA,NA,0.7234,0.0135,0.7234,0.0135
Ritchie et al. 1998,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,99.999,NA,NA,54.99815,NA,NA,45.00085,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA
"Ritchie, 1989-1999",terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,35.48,NA,17.74,NA,NA,NA,NA,0.0996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riznyk et al. 1978,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,180.4925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.006,NA,NA,NA,NA,NA
Rizzo and Wetzel 1985,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,231.0304,NA,NA,NA,NA,NA,NA,NA,73.73,NA,NA,NA,NA,NA,NA,NA,NA
Rizzo and Wetzel 1985,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,112.8288,NA,NA,NA,NA,NA,NA,NA,61.9332,NA,NA,NA,NA,NA,NA,NA,NA
Rizzo and Wetzel 1985,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,99.3968,NA,NA,NA,NA,NA,NA,NA,54.5602,NA,NA,NA,NA,NA,NA,NA,NA
Rizzo and Wetzel 1985,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,111.69365,NA,NA,NA,NA,NA,NA,NA,53.3922,NA,NA,NA,NA,NA,NA,NA,NA
Rizzo and Wetzel 1985,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,54.784675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robertson and Daniel 1989,terrestrial,mangroves,Mangrove forest,Marine angiosperms,599.987,NA,18600,584.18688,NA,NA,15.80012,NA,107.99985,123.79997,253.2005,223.0004,NA,NA,NA,NA,NA
Robertson and Daniel 1989,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-04,0.37,NA,NA,NA
Robertson and Daniel 1989,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-04,0.36,NA,NA,NA
Rogers and Breen 1982,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,93.65,NA,NA,71.55,NA,NA,NA,NA,54.6,NA,NA,NA,0.0644,2.025,0.29,NA,NA
Romero et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,201.48,NA,89.1,197.1,NA,64.64,NA,NA,187.6684,NA,NA,NA,0.008354,1.4,0.078,NA,NA
Rublee and Roman 1982,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149,1.86,NA,NA,NA
Sakshaug et al. 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,18.25,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Schalles and Shure 1989,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,24.2725,NA,13.82,24.2725,NA,24.8,NA,NA,15.1239,NA,NA,NA,0.002681,1.9,0.14,NA,NA
Schlesinger 1978,terrestrial,mangroves,Mangrove forest,Marine angiosperms,276.67,NA,12285.25122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.0149
Schlesinger 1997,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,235.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3504,NA,NA,NA,NA,NA,NA
Schlesinger 1997,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1079.75614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.35,NA,NA,NA,NA,NA
Schlesinger 1997,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1079.75614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.7,NA,NA,NA,NA,NA
Schlesinger 1997,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1079.75614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.25,NA,NA,NA,NA,NA
Schlesinger 1997,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1079.75614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.8,NA,NA,NA,NA,NA
Schlesinger 1997,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1079.75614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.55,NA,NA,NA,NA,NA
Schowalter et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,127.9982,NA,NA,119.99813,NA,NA,8.00007,0.166879795,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott et al. 1979,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,121.6,NA,85.03,112.28,NA,NA,9.32,0.216136885,99.91,109.23,NA,NA,NA,1.625,0.18,1.625,0.18
Seastedt 1988,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-04,0.18,0.015,NA,NA
Sfriso and Marcomini 1997,aquatic,marine macroalgal beds,Macroalgal forest,Algae,815.994,NA,NA,285.576,NA,NA,530.418,NA,284.7,815.118,0.064496,NA,0.023,1.98,0.1645,1.98,0.1645
Sharma and Ambasht 1987,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0029,2.56,0.072,NA,NA
Sheldon 1987,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,74.46,NA,32.8,65.7,NA,NA,8.6505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shin et al. 1987,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512
Sinclair 1975,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,239.075,NA,116.56,173.74,NA,NA,65.7,0.337866414,NA,NA,NA,NA,NA,NA,NA,1.44,0.22
Sinclair 1975,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,188.34,NA,66.51,116.8,NA,NA,71.54,1.147457335,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skjoldal and LŠnnergren 1978,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,1619.8773,NA,2.99,1416.2,NA,NA,175.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small et al. 1989,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,250.338,NA,1.27,NA,NA,NA,NA,0.098267,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smalley 1960,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,503.0065,NA,NA,500.139279,NA,NA,2.867221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith 1973,aquatic,marine macroalgal beds,Macroalgal forest,Algae,3009.936,NA,NA,NA,NA,NA,NA,NA,2894.304,NA,NA,NA,NA,NA,NA,NA,NA
Smith 1973,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1241.5986,NA,NA,NA,NA,NA,NA,NA,1085.364,NA,NA,NA,NA,NA,NA,NA,NA
Smith 1973,aquatic,marine macroalgal beds,Macroalgal forest,Algae,627.07,NA,NA,NA,NA,NA,NA,NA,289.4304,NA,NA,NA,NA,NA,NA,NA,NA
Smith 1973,aquatic,marine macroalgal beds,Macroalgal forest,Algae,904.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith 1977,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,464.5063,NA,NA,NA,NA,NA,NA,NA,65.709855,NA,NA,NA,NA,NA,NA,NA,NA
Smith 1977,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,455.0747,NA,NA,NA,NA,NA,NA,NA,238.015697,NA,NA,NA,NA,NA,NA,NA,NA
Smith 1992,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,37.7264,NA,1,NA,NA,NA,NA,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA
Smith 1992,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,37.7264,NA,1,NA,NA,NA,NA,NA,NA,NA,0.001095,NA,NA,NA,NA,NA,NA
Smith 1992,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,37.7264,NA,1,NA,NA,NA,NA,NA,NA,NA,0.0365,NA,NA,NA,NA,NA,NA
Smith 1992,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,37.7264,NA,1,NA,NA,NA,NA,NA,NA,NA,0.219,NA,NA,NA,NA,NA,NA
Smith and Clymo 1984,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,2200,NA,7787.33,NA,NA,NA,NA,NA,NA,NA,211.9993,NA,NA,NA,NA,NA,NA
Smith and Hollibaugh 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,115.5371,NA,NA,NA,NA,NA,NA,NA,70.090512,NA,4.015,8.03,NA,NA,NA,NA,NA
Smith and Jokiel 1978,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1883.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.14,NA,NA,NA,NA,NA,NA
Smith and Pesret 1974,aquatic,marine macroalgal beds,Macroalgal forest,Algae,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA
Smith et al. 1978,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1883.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,NA,NA,NA,NA,NA
Smith et al. 1986,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,858.2756,NA,5.25,NA,NA,NA,NA,NA,246.043872,NA,NA,NA,NA,NA,NA,NA,NA
Smith et al. 1986,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,294.7375,NA,0.28,NA,NA,NA,NA,NA,163.593,NA,NA,NA,NA,NA,NA,NA,NA
Smith et al. 1986,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,247.5795,NA,0.66,NA,NA,NA,NA,NA,137.41812,NA,NA,NA,NA,NA,NA,NA,NA
Smith et al. 1986,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,221.6426,NA,1.1,NA,NA,NA,NA,NA,123.021936,NA,NA,NA,NA,NA,NA,NA,NA
Soholt 1973,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,13.54296,NA,NA,12.608487,NA,NA,0.934473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorokin 1983,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,179.2004,NA,0.7154,51.4504,NA,0.17,127.75,4.6,NA,NA,0.00657,NA,NA,NA,NA,5.08,1.14
